"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101046307";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ecec9d1d&appId=PPGMS";"957db49cbadbf7642cdeb035013c6fc8";"en";"";"";"projectDeliverable";"corda";""
"101046307";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f1e4226e&appId=PPGMS";"0d3a850b3a7a7497bd6bf6eb7ed54ea1";"en";"";"";"projectDeliverable";"corda";""
"101110795";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e508354a89&appId=PPGMS";"8798b4299b034d7b7d2925ad82ac96bc";"en";"";"";"projectDeliverable";"corda";""
"101039802";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f76a351b&appId=PPGMS";"f257d658224f571aa35a51db763228a7";"en";"";"";"projectDeliverable";"corda";""
"101110156";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5067b509a&appId=PPGMS";"6db1364ea1783235de3156292985f88b";"en";"";"";"projectDeliverable";"corda";""
"101070441";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f350d1ee&appId=PPGMS";"4be63063c3f2470c99023b3e841cfe1c";"en";"";"";"projectDeliverable";"corda";""
"101070441";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fcec25a3&appId=PPGMS";"b790ddae51d8ca891a244bf30d6f4fd4";"en";"";"";"projectDeliverable";"corda";""
"101069789";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f1eb9cac&appId=PPGMS";"5e7332fd4fc2a7bfdbd0ccf0f3eabec7";"en";"";"";"projectDeliverable";"corda";""
"101064343";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f847fc41&appId=PPGMS";"f6f214326f029d81f01279befa3dfafe";"en";"";"";"projectDeliverable";"corda";""
"101109359";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50922ef0b&appId=PPGMS";"f535071bd6e195883295a23a8dfd301d";"en";"";"";"projectDeliverable";"corda";""
"101041998";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e508dea166&appId=PPGMS";"59c0450ac9c90da5923f845aec2c5186";"en";"";"";"projectDeliverable";"corda";""
"101069099";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f79ad66a&appId=PPGMS";"c922adc6d1eac209739f1abe35b6c9bc";"en";"";"";"projectDeliverable";"corda";""
"101043451";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f84387cb&appId=PPGMS";"0bcca9c31a6c531bdd7b2faa8b7f4d25";"en";"";"";"projectDeliverable";"corda";""
"101063466";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5095ac13e&appId=PPGMS";"7bab7b41584c02905ec30be5257154ce";"en";"";"";"projectDeliverable";"corda";""
"101067123";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f9d34e43&appId=PPGMS";"db83a2fc40c3ea9539f6f1ed33cdeba9";"en";"";"";"projectDeliverable";"corda";""
"101064589";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f45b1928&appId=PPGMS";"0103316944167b5ee125cd1053de5ccb";"en";"";"";"projectDeliverable";"corda";""
"101046973";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f5613a0f&appId=PPGMS";"0951cedb7da594cc8e65103f35d17fb6";"en";"";"";"projectDeliverable";"corda";""
"101046973";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f9ed192a&appId=PPGMS";"c43e05c0ed94c6a7615b31bd40d51bb5";"en";"";"";"projectDeliverable";"corda";""
"101046973";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f9ed0849&appId=PPGMS";"d5ceb33ec355aec3559919b53a563e19";"en";"";"";"projectDeliverable";"corda";""
"101046973";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f47c3f10&appId=PPGMS";"4173ae64380b7a43ae4c4a063ff64cfd";"en";"";"";"projectDeliverable";"corda";""
"101046973";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e501e1d48d&appId=PPGMS";"1090658f81bbe37277338dfa6f4dd1dc";"en";"";"";"projectDeliverable";"corda";""
"101052786";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff24e08e&appId=PPGMS";"6d6143e93b6d7202e456ebfb1bcb1f25";"en";"";"";"projectDeliverable";"corda";""
"101065974";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f973e67a&appId=PPGMS";"3d155bee50d7a4c6183ee5ba9858de01";"en";"";"";"projectDeliverable";"corda";""
