"projectID";"topic";"title"
"101103348";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101044249";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101089099";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101041109";"ERC-2021-STG";"ERC STARTING GRANTS"
"101087692";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101104590";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101039754";"ERC-2021-STG";"ERC STARTING GRANTS"
"101063285";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101087907";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101063362";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101130724";"HORIZON-EIC-2023-PATHFINDEROPEN-01-01";"EIC Pathfinder Open"
"101166330";"HORIZON-EIC-2023-ACCELERATORCHALLENGES-05";"EIC Accelerator Challenge: Emerging semiconductor or quantum technology components"
"101086733";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101060162";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101108117";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101138580";"ERC-2023-POC";"ERC PROOF OF CONCEPT GRANTS"
"101054500";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101110987";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101098813";"HORIZON-EIC-2022-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2022"
"101095574";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101111079";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101109743";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101070193";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-32";"Support and coordination of the Quantum Technologies Flagship Initiative (CSA)"
"101066064";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101105916";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101083038";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101042075";"ERC-2021-STG";"ERC STARTING GRANTS"
"101088055";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101076737";"ERC-2022-STG";"ERC STARTING GRANTS"
"101105506";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101047029";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101110866";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101078313";"ERC-2022-STG";"ERC STARTING GRANTS"
"101057404";"HORIZON-CL4-2021-TWIN-TRANSITION-01-02";"Zero-defect manufacturing towards zero-waste (Made in Europe Partnership) (IA)"
"101112026";"HORIZON-JTI-CLEANH2-2022-01-04";"Design for advanced and scalable manufacturing of electrolysers"
"101110742";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101065067";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101084261";"HORIZON-CL5-2021-D3-03-02";"Next generation of renewable energy technologies"
"101064381";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101114349";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101138475";"HORIZON-CL4-2023-RESILIENCE-01-21";"Innovative methods for safety and sustainability assessments of chemicals and materials (RIA)"
"101099462";"HORIZON-EIC-2022-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2022"
"101055088";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101114112";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101137726";"ERC-2023-POC";"ERC PROOF OF CONCEPT GRANTS"
"101147451";"HORIZON-CL5-2023-D3-02-15";"Critical technologies to improve the lifetime, efficient decommissioning and increase the circularity of offshore and onshore wind energy systems"
"101091982";"HORIZON-CL4-2022-TWIN-TRANSITION-01-02";"Products with complex functional surfaces (Made in Europe Partnership) (RIA)"
"101107201";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101120006";"HORIZON-MSCA-2022-DN-01-01";"MSCA Doctoral Networks 2022"
"190184905";"HORIZON-EIC-2021-ACCELERATOROPEN-01";"EIC Accelerator Open 2021"
"101045098";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101113210";"HORIZON-EIC-2022-TRANSITIONOPEN-01";"EIC Transition Open 2022"
"101112447";"HORIZON-JU-CBE-2022-R-02";"Bio-based coatings, barriers, binders, and adhesives"
"101057988";"HORIZON-CL4-2021-RESILIENCE-01-20";"Antimicrobial, Antiviral, and Antifungal Nanocoatings (RIA)"
"101075821";"ERC-2022-STG";"ERC STARTING GRANTS"
"101146834";"HORIZON-EIC-2023-TRANSITIONOPEN-01";"Transition Open 2023"
"101081830";"ERC-2022-POC2";"ERC PROOF OF CONCEPT GRANTS2"
"101096020";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101106323";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101058570";"HORIZON-CL4-2021-RESILIENCE-01-20";"Antimicrobial, Antiviral, and Antifungal Nanocoatings (RIA)"
"101069203";"ERC-2022-POC1";"ERC PROOF OF CONCEPT GRANTS1"
"101059786";"HORIZON-CL6-2021-CIRCBIO-01-05";"Novel, non-plant biomass feedstocks for industrial applications"
"101112842";"HORIZON-MISS-2022-SOIL-01-10";"Innovations for soil improvement from bio-waste"
"101087367";"HORIZON-WIDERA-2022-TALENTS-01-01";"ERA Chairs"
"190157248";"HORIZON-EIC-2022-ACCELERATOROPEN-01";"EIC Accelerator Open"
"101061820";"ERC-2022-POC1";"ERC PROOF OF CONCEPT GRANTS1"
"101097351";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101073266";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101070085";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-31";"Functional electronics for green and circular economy (RIA)"
"190103720";"HORIZON-EIC-2023-ACCELERATOROPEN-01";"EIC Accelerator Open 2023"
"101073432";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
